transporte,ruta,tipo_entrega,material,precio,cantidad,unidad,cantidad_unidades,unidad_std,entrega_rutina_unidades,entrega_bonificacion_unidades,total_value
67053596,919885,ZPRE,AA004003,3195.54,100.0,CS,2000.0,ST,2000.0,0.0,6391080.0
67053596,919885,ZPRE,BA018426,529.99,20.0,CS,400.0,ST,400.0,0.0,211996.0
67053610,919885,Z04,BA018426,7799.74,103.0,CS,2060.0,ST,0.0,2060.0,1.60674644E7
67053610,919885,Z04,BA018426,25.25,2.0,ST,2.0,ST,0.0,2.0,50.5
67053610,919885,Z04,AA004005,1537.5,15.0,CS,300.0,ST,0.0,300.0,461250.0
67053610,919885,Z04,AA004005,29.93,7.0,ST,7.0,ST,0.0,7.0,209.51
67053638,919885,ZPRE,BA018426,37481.17,503.0,CS,10060.0,ST,10060.0,0.0,3.770605702E8
67053638,919885,ZPRE,BA018426,62.11,5.0,ST,5.0,ST,5.0,0.0,310.55
67053610,919885,ZPRE,BA018426,7799.74,103.0,CS,2060.0,ST,2060.0,0.0,1.60674644E7
67053610,919885,ZPRE,BA018426,25.25,2.0,ST,2.0,ST,2.0,0.0,50.5
67053610,919885,ZPRE,AA004005,1537.5,15.0,CS,300.0,ST,300.0,0.0,461250.0
67053610,919885,ZPRE,AA004005,29.93,7.0,ST,7.0,ST,7.0,0.0,209.51
